,Consumption,Forecast D-1,Forecast D,Fuel oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Hydralic pumping,Bioenergies,Physical exchange,Fossil,Renewable
2020-01-31,49.4401585,49.38243,49.046905,0.0950955,0.1577225,5.2115735,37.333273,4.1625065,0.4586125,6.2679155,-0.532933,0.8546,-4.567755,5.4643915,11.7436345
2020-02-29,43.1158335,42.82045,42.7614,0.094275,0.0850075,3.6264475,33.1560245,5.891177,0.6936295,6.266889,-0.690827,0.7950625,-6.80157,3.80573,13.646758
2020-03-31,41.283077,41.06085,41.12828,0.086766,0.0366685,3.4876815,30.634887,4.499112,0.9997685000000001,7.28738,-0.564613,0.870235,-6.0545775,3.611116,13.6564955
2020-04-30,30.471799999999998,30.4867,30.61795,0.06420000000000001,0.013988,0.49219,26.8110375,2.2734775000000003,1.242722,5.0406765,-0.571466,0.8144445,-5.7093050000000005,0.570378,9.3713205
2020-05-31,30.4742265,30.49315,30.46893,0.0629715,0.054965,1.077909,24.7028985,2.654161,1.5247375,6.6475035,-0.6208275,0.831403,-6.4613755,1.1958455,11.657805
2020-06-30,30.6065725,30.42435,30.427265,0.065075,0.0118185,2.352523,21.322477,2.043982,1.447221,6.3610965,-0.415687,0.793907,-3.375792,2.4294165,10.6462065
2020-07-31,32.758689,32.656325,32.7366625,0.086912,0.143588,2.439312,22.484193,2.098745,1.6678345,4.6057455,-0.2646115,0.8279225,-1.3293585,2.669812,9.2002475
2020-08-31,31.1890905,31.1358,31.002625000000002,0.0599845,0.0599275,2.4069765,22.862017,2.040612,1.4767385,3.6737755,-0.415999,0.8040944999999999,-1.7780725,2.5268885,7.995220499999999
2020-09-30,32.1114895,31.98625,32.03221,0.073717,0.271504,2.524969,21.7222455,2.139066,1.2042165,3.3487245,-0.43820149999999997,0.7492365,0.5165155,2.87019,7.4412435
2020-10-31,38.1028395,37.9236,37.865585,0.0664945,0.1014255,2.2627289999999998,28.2222395,4.3099905,0.7525325,5.1108935,-0.5726845,0.739467,-2.8895015,2.430649,10.9128835
2020-11-30,39.6357595,39.8129,39.704344999999996,0.0698275,0.11773549999999999,4.18267,31.543858,3.171698,0.648656,4.5020685,-0.546366,0.778126,-4.8323575,4.370233,9.1005485
2020-12-31,47.3931345,47.387325,47.189015,0.101856,0.3125485,4.403486,34.4128695,4.4157555,0.34451750000000003,5.6935875000000005,-0.629471,0.8201885,-2.4816855,4.8178905,11.274049
2021-01-31,52.613074499999996,52.8463,52.677415,0.0930665,0.7926905,4.725423,37.1620925,3.957593,0.4234365,7.1500445,-0.490978,0.8388545,-1.9616785,5.61118,12.3699285
2021-02-28,42.7177435,42.8192,42.739585,0.095165,0.270297,3.6495605,30.3264815,4.247931,0.6141685,6.737492,-0.533485,0.7674595,-3.4101265,4.0150225,12.367051
